rank,domain,company_name,country,sector
357,babifood.com,"Babi","People's Republic of China","Other"
358,babybunting.com.au,"Baby Bunting","New Zealand","Other"
359,baidu.com,"Baidu","People's Republic of China","Other"
360,baihe.com,"baihe.com","People's Republic of China","Other"
361,bynmc.com,"Baiyin Nonferrous","People's Republic of China","Other"
362,gzbys.com,"Baiyunshan","People's Republic of China","Healthcare"
363,bajajauto.com,"Bajaj Auto","India","Transportation & Logistics"
364,bajajelectricals.com,"Bajaj Electricals","India","Other"
365,bajajfinserv.in,"Bajaj Finance","India","Banking & Finance"
366,bakrie-brothers.com,"Bakrie & Brothers","Indonesia","Banking & Finance"
367,bakrie-brothers.com,"Bakrie Group","Indonesia","Banking & Finance"
368,bakriesumatera.com,"Bakrie Sumatera Plantations","Indonesia","Other"
369,bakrietelecom.com,"Bakrie Telecom","Indonesia","Telecommunications"
370,bakrieland.com,"Bakrieland Development","Indonesia","Critical Infrastructure"
371,bakuelectronics.az,"Baku Electronics","Azerbaijan","Transportation & Logistics"
372,baladi.co.il,"Baladi","Israel","Other"
373,baliutd.com,"Bali Bintang Sejahtera","Indonesia","Other"
374,balitower.co.id,"Bali Towerindo Sentra","Indonesia","Critical Infrastructure"
375,bkt-tires.com,"Balkrishna Industries","India","Other"
376,baloise.de,"Bâloise","Switzerland","Insurance"
377,mps.it,"Banca Monte dei Paschi di Siena","Italy","Banking & Finance"
378,santander.com,"Banco Santander","Spain","Banking & Finance"
379,bandainamco.co.jp,"Bandai Namco Holdings","Japan","Other"
380,bangkokbank.com,"Bangkok Bank","Thailand","Banking & Finance"
381,bts.co.th,"Bangkok Mass Transit System Public Company Limited","Thailand","Transportation & Logistics"
382,hossaingroup.org,"Bangla Cars","Bangladesh","Transportation & Logistics"
383,bsl.gov.bd,"Bangladesh Services Limited","Bangladesh","Other"
384,bankaljazira.com,"Bank Aljazira","Saudi Arabia","Banking & Finance"
385,amarbank.co.id,"Bank Amar Indonesia","Indonesia","Banking & Finance"
