rank,domain,company_name,country,sector
82,bp.com,"BP","United Kingdom","Energy & Utilities"
83,bpost.be,"Bpost","Belgium","Transportation & Logistics"
84,brenntag.com,"Brenntag","Germany","Transportation & Logistics"
85,brenntag.com,"Brenntag","Germany","Materials & Chemicals"
86,brenntag.com,"Brenntag","Germany","Materials & Chemicals"
87,bat.com,"British American Tobacco","United Kingdom","Retail & Consumer"
88,bt.com,"BT Group","United Kingdom","Telecommunications"
89,bunzl.com,"Bunzl","United Kingdom","Transportation & Logistics"
90,burberry.com,"Burberry","United Kingdom","Retail & Consumer"
91,burberry.com,"Burberry","United Kingdom","Retail & Consumer"
92,bureauveritas.com,"Bureau Veritas","France","Transportation & Logistics"
93,caixabank.es,"CaixaBank","Spain","Banking & Finance"
94,caixabank.es,"CaixaBank","Spain","Banking & Finance"
95,camparigroup.com,"Campari Group","Italy","Retail & Consumer"
96,capgemini.com,"Capgemini","France","Technology"
97,meditec.zeiss.com,"Carl Zeiss Meditec","Germany","Healthcare"
98,carrefour.com,"Carrefour","France","Other"
99,turku.fi,"Castellum AB","Sweden","Real Estate & Infrastructure"
100,cdprojekt.com,"CD Projekt","Poland","Retail & Consumer"
101,centrica.com,"Centrica","United Kingdom","Energy & Utilities"
102,clariant.com,"Clariant","Switzerland","Materials & Chemicals"
103,clariant.com,"Clariant","Switzerland","Materials & Chemicals"
104,coca-colahellenic.com,"Coca-Cola HBC","Switzerland","Retail & Consumer"
105,colruytgroup.com,"Colruyt Group","Belgium","Other"
106,commerzbank.com,"Commerzbank","Germany","Banking & Finance"
107,compass-group.com,"Compass Group","United Kingdom","Other"
108,continental.com,"Continental AG","Germany","Other"
109,convatec.com,"ConvaTec","United Kingdom","Healthcare"
110,covestro.com,"Covestro","Germany","Materials & Chemicals"
111,covestro.com,"Covestro","Germany","Materials & Chemicals"
112,credit-agricole.com,"Crédit Agricole","France","Banking & Finance"
113,croda.com,"Croda International","United Kingdom","Materials & Chemicals"
114,croda.com,"Croda International","United Kingdom","Materials & Chemicals"
115,eventim.de,"CTS Eventim","Germany","Media & Entertainment"
116,daimlertruck.com,"Daimler Truck","Germany","Transportation & Logistics"
117,danone.com,"Danone","France","Retail & Consumer"
118,deliveryhero.com,"Delivery Hero","Germany","Other"
119,deliveryhero.com,"Delivery Hero","Germany","Other"
120,demant.com,"Demant","Denmark","Healthcare"
121,derwentlondon.com,"Derwent London","United Kingdom","Real Estate & Infrastructure"
122,derwentlondon.com,"Derwent London","United Kingdom","Real Estate & Infrastructure"
123,deutsche-boerse.com,"Deutsche Börse","Germany","Banking & Finance"
124,pfandbriefbank.com,"Deutsche Pfandbriefbank","Germany","Banking & Finance"
125,telekom.com,"Deutsche Telekom","Germany","Telecommunications"
126,dpdhl.com,"DHL Group","Germany","Transportation & Logistics"
127,diageo.com,"Diageo","United Kingdom","Retail & Consumer"
128,diplomaplc.com,"Diploma plc","United Kingdom","Transportation & Logistics"
129,directlinegroup.com,"Direct Line Insurance Group","United Kingdom","Insurance"
130,corporate.docmorris.com,"DocMorris","Switzerland","Healthcare"
131,dssmith.com,"DS Smith","United Kingdom","Transportation & Logistics"
132,dsm-firmenich.com,"DSM-Firmenich","Switzerland","Materials & Chemicals"
133,eon.com,"E.ON","Germany","Energy & Utilities"
134,easyjet.com,"EasyJet","United Kingdom","Other"
135,edenred.com,"Edenred","France","Transportation & Logistics"
136,edp.pt,"EDP - Energias de Portugal","Portugal","Energy & Utilities"
137,edpr.com,"EDP Renováveis","Portugal","Energy & Utilities"
138,eiffage.com,"Eiffage","France","Other"
139,electroluxgroup.com,"Electrolux","Sweden","Retail & Consumer"
140,electroluxgroup.com,"Electrolux","Sweden","Retail & Consumer"
141,elisa.fi,"Elisa (company)","Finland","Telecommunications"
142,ems-group.com,"Ems-Chemie","Switzerland","Materials & Chemicals"
143,enagas.com,"Enagás","Spain","Energy & Utilities"
144,endeavourmining.com,"Endeavour Mining","United Kingdom","Materials & Chemicals"
145,enel.com,"Enel","Italy","Energy & Utilities"
146,agence.engie-homeservices.fr,"Engie","France","Energy & Utilities"
147,agence.engie-homeservices.fr,"Engie","France","Energy & Utilities"
148,eni.com,"Eni","Italy","Energy & Utilities"
149,entaingroup.com,"Entain","United Kingdom","Other"
150,entaingroup.com,"Entain","United Kingdom","Other"
151,epiroc.com,"Epiroc","Sweden","Transportation & Logistics"
152,ericsson.com,"Ericsson","Sweden","Telecommunications"
153,erstegroup.com,"Erste Group","Austria","Banking & Finance"
154,essilorluxottica.com,"EssilorLuxottica","France","Healthcare"
155,euronext.com,"Euronext","Netherlands","Banking & Finance"
156,evonik.com,"Evonik Industries","Germany","Materials & Chemicals"
157,evotec.com,"Evotec","Germany","Healthcare"
158,evraz.com,"Evraz","United Kingdom","Materials & Chemicals"
159,exor.com,"Exor (company)","Netherlands","Banking & Finance"
160,experian.com,"Experian","United Kingdom","Transportation & Logistics"
161,balder.se,"Fastighets AB Balder","Sweden","Real Estate & Infrastructure"
162,ferrari.com,"Ferrari","Italy","Other"
163,ferrovial.com,"Ferrovial","Netherlands","Other"
